h	2	5	       0.000186	       0.000333
had	10	9	       0.000681	       0.000555
hair	0	1	       0.000062	       0.000111
hal	1	0	       0.000124	       0.000055
half	1	1	       0.000124	       0.000111
hand	3	1	       0.000248	       0.000111
handled	1	1	       0.000124	       0.000111
hands	0	2	       0.000062	       0.000166
hang	0	1	       0.000062	       0.000111
hangover	0	1	       0.000062	       0.000111
hans	1	0	       0.000124	       0.000055
happen	2	0	       0.000186	       0.000055
happens	1	0	       0.000124	       0.000055
happy	4	0	       0.000310	       0.000055
harbour	1	0	       0.000124	       0.000055
hard	4	6	       0.000310	       0.000388
hardly	0	2	       0.000062	       0.000166
hardware	0	1	       0.000062	       0.000111
harriman	0	1	       0.000062	       0.000111
harris	2	0	       0.000186	       0.000055
harrison	2	0	       0.000186	       0.000055
harry	1	0	       0.000124	       0.000055
harvey	2	0	       0.000186	       0.000055
has	25	24	       0.001610	       0.001387
hash	0	1	       0.000062	       0.000111
hassle	0	2	       0.000062	       0.000166
hate	0	4	       0.000062	       0.000277
have	61	75	       0.003840	       0.004215
having	4	1	       0.000310	       0.000111
hc	2	0	       0.000186	       0.000055
he	7	30	       0.000495	       0.001719
head	0	3	       0.000062	       0.000222
headache	0	1	       0.000062	       0.000111
headachesmerle	0	1	       0.000062	       0.000111
heading	0	1	       0.000062	       0.000111
headline	0	2	       0.000062	       0.000166
headlines	0	4	       0.000062	       0.000277
heal	1	0	       0.000124	       0.000055
healing	0	1	       0.000062	       0.000111
health	0	2	       0.000062	       0.000166
hear	1	1	       0.000124	       0.000111
heard	0	2	       0.000062	       0.000166
hearers	0	1	       0.000062	       0.000111
heart	0	1	       0.000062	       0.000111
heartburnwestfield	0	1	       0.000062	       0.000111
heating	2	0	       0.000186	       0.000055
held	5	0	       0.000372	       0.000055
hello	3	3	       0.000248	       0.000222
help	4	11	       0.000310	       0.000666
helpdesk	1	1	       0.000124	       0.000111
helped	0	1	       0.000062	       0.000111
helpful	2	0	       0.000186	       0.000055
helping	0	2	       0.000062	       0.000166
helpless	0	2	       0.000062	       0.000166
helps	0	1	       0.000062	       0.000111
hemingway	0	1	       0.000062	       0.000111
hemisphere	2	0	       0.000186	       0.000055
hendricks	0	2	       0.000062	       0.000166
heno	0	1	       0.000062	       0.000111
her	7	2	       0.000495	       0.000166
herbalonline	0	1	       0.000062	       0.000111
herbs	1	0	       0.000124	       0.000055
here	10	40	       0.000681	       0.002274
herem	0	1	       0.000062	       0.000111
herewe	0	1	       0.000062	       0.000111
herod	1	0	       0.000124	       0.000055
hesitate	0	3	       0.000062	       0.000222
hey	1	1	       0.000124	       0.000111
hgh	0	5	       0.000062	       0.000333
hi	1	0	       0.000124	       0.000055
hidd	0	1	       0.000062	       0.000111
high	5	5	       0.000372	       0.000333
higher	2	2	       0.000186	       0.000166
highlands	0	2	       0.000062	       0.000166
highlight	2	1	       0.000186	       0.000111
